Uniprot ID,Gene Name,Log2 Ratio L/H AgProp.Total1,Log2 Ratio L/H AgProp.Insoluble1,Log2 Ratio L/H AgProp.Soluble1,Log2 Ratio L/H AgProp.Total2,Log2 Ratio L/H AgProp.Insoluble2,Log2 Ratio L/H AgProp.Soluble2,Log2 Ratio L/H AgProp.Total3,Log2 Ratio L/H AgProp.Insoluble3,Log2 Ratio L/H AgProp.Soluble3,log abs.LFQ AgProp.Total1,log abs.LFQ AgProp.Insoluble1,log abs.LFQ AgProp.Soluble1,log abs.LFQ AgProp.Total2,log abs.LFQ AgProp.Insoluble2,log abs.LFQ AgProp.Soluble2,log abs.LFQ AgProp.Total3,log abs.LFQ AgProp.Insoluble3,log abs.LFQ AgProp.Soluble3,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgProp.Total1 Corrected,log abs.LFQ AgProp.Insoluble1 Corrected,log abs.LFQ AgProp.Soluble1 Corrected,log abs.LFQ AgProp.Total2 Corrected,log abs.LFQ AgProp.Insoluble2 Corrected,log abs.LFQ AgProp.Soluble2 Corrected,log abs.LFQ AgProp.Total3 Corrected,log abs.LFQ AgProp.Insoluble3 Corrected,log abs.LFQ AgProp.Soluble3 Corrected,log2 Aggregation Propensity 1,log2 Aggregation Propensity 2,log2 Aggregation Propensity 3,log2 Median Aggregation Propensity,Median Aggregation Propensity Percentage
A5Z2U7,,NA,NA,NA,1.079935415,NA,NA,NA,NA,NA,NA,NA,NA,6.794313736,NA,6.865914927,NA,NA,NA,1.52E-135,60.6,127,NA,NA,NA,7.016076185,NA,6.975274103,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2U9,,0.420337103,-0.929639526,0.167053292,NA,NA,-1.066261442,0.46565945,NA,0.147521676,7.445246035,6.452462923,7.297322714,6.552181339,6.20920227,6.729561631,7.071771579,NA,7.457609431,1.53E-11,24,100,7.405581283,6.767889524,7.174856464,6.773943788,6.441189572,6.838920807,7.099093004,NA,7.37806064,-1.349976629,NA,NA,-1.349976629,39.2298404
Q8I4J5;Q9XVN9;A5Z2V0;A5Z2V1,cids-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36660971,NA,NA,NA,NA,NA,NA,4.91E-49,12.5,656,NA,NA,5.24414346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2V2,,NA,NA,0.056806298,NA,NA,NA,NA,NA,0.126548997,7.128076013,NA,7.327787908,NA,NA,6.819142357,6.889296099,NA,7.03530964,3.09E-25,22.4,98,7.088411261,NA,7.205321657,NA,NA,6.928501532,6.916617523,NA,6.955760848,NA,NA,NA,NA,NA
Q564V0;Q95QM9;A5Z2V7,,1.227151538,NA,-0.015069322,NA,NA,NA,NA,NA,NA,6.498448403,NA,6.398946405,NA,NA,NA,NA,4.880751245,5.836077143,2.47E-70,14.7,387,6.458783651,NA,6.276480155,NA,NA,NA,NA,5.190128497,5.756528352,NA,NA,NA,NA,NA
A5Z2W3,,0.339126132,-0.620398731,-1.142021259,NA,-0.744333347,NA,0.578563932,-0.812457152,-0.974235604,6.884240109,6.229127988,6.586238379,6.169233451,6.578123424,NA,6.633559345,6.394454297,6.284114768,2.54E-55,24,225,6.844575357,6.544554589,6.463772129,6.3909959,6.810110726,NA,6.660880769,6.703831549,6.204565977,-0.959524863,NA,-1.391021083,-1.175272973,44.27999693
A5Z2W4;O18052,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42E-09,12.3,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2W6;O46010,,NA,NA,NA,0.946193556,NA,1.153221884,0.504673232,-2.590793616,0.644036538,5.825127397,NA,5.928825837,6.235023159,4.226582378,6.009960531,6.339411687,5.424200644,6.39476678,6.73E-98,29.4,309,5.785462645,NA,5.806359586,6.456785609,4.45856968,6.119319707,6.366733112,5.733577896,6.315217988,NA,NA,-3.095466848,-3.095466848,11.69961655
A5Z2W7;O45637,,0.586492569,NA,0.681445983,NA,-1.212258044,NA,0.845287186,NA,NA,6.395920193,5.139688526,6.360839457,NA,5.604060108,6.014646525,6.434536969,5.398331396,6.420912454,5.92E-14,41.7,108,6.356255441,5.455115127,6.238373206,NA,5.83604741,6.1240057,6.461858394,5.707708648,6.341363662,NA,NA,NA,NA,NA
A5Z2X2,nuo-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20E-35,51.4,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6PVA1,,0.270660414,-2.171751259,0.707241805,0.187329278,NA,-0.133300476,0.231904622,-3.093036141,0.233175891,6.597025681,5.245085218,6.557302638,6.296379954,4.596579739,6.195595263,6.337199605,4.81581834,6.658068662,3.25E-126,40.3,538,6.557360929,5.560511819,6.434836388,6.518142403,4.828567041,6.304954439,6.36452103,5.125195591,6.578519871,-2.442411673,NA,-3.324940763,-2.883676218,13.54961517
A6PVA5;O16314,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80E-66,37.7,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8I4I4;Q20621;A6ZJ46,,0.206678397,-3.383082158,0.003437707,-0.102187793,-4.338852239,0.05072655,0.450518108,-3.121562526,0.240741881,6.83710211,5.91504204,6.884755726,6.591810063,5.337126604,6.237920566,6.769613613,5.513769445,6.826541257,6.84E-202,28.8,517,6.797437358,6.230468641,6.762289476,6.813572512,5.569113906,6.347279742,6.796935037,5.823146696,6.746992465,-3.589760555,-4.236664446,-3.572080635,-3.589760555,8.305664718
A6ZJ62;Q20063,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55E-06,2.3,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7DT38;G5EEJ3,gpb5,NA,NA,NA,-0.380396992,NA,NA,NA,NA,NA,6.506505032,NA,6.488564817,6.305652261,NA,6.155457501,6.307046535,NA,NA,2.15E-61,57.6,125,6.46684028,NA,6.366098567,6.527414711,NA,6.264816677,6.33436796,NA,NA,NA,NA,NA,NA,NA
A7DT40,,NA,NA,NA,NA,NA,0.693177826,NA,NA,NA,NA,4.446001368,NA,5.097812407,NA,5.551205944,5.360650205,NA,5.369178737,1.07E-66,17.7,727,NA,4.761427969,NA,5.319574857,NA,5.660565119,5.38797163,NA,5.289629945,NA,NA,NA,NA,NA
A7DT41,tag-296,NA,NA,0.631645106,NA,NA,NA,NA,NA,NA,6.694789406,4.718600061,6.84211601,NA,4.889561094,5.450926203,NA,NA,NA,3.16E-73,39.9,281,6.655124654,5.034026662,6.71964976,NA,5.121548395,5.560285378,NA,NA,NA,NA,NA,NA,NA,NA
A7DT45,oxy-5,0.667515469,NA,0.396574237,1.090004222,NA,0.614204539,0.843473941,NA,0.617233159,7.058805487,NA,6.954030136,6.846497932,5.375822209,6.856039755,6.884925576,5.365070269,7.122084751,3.30E-38,41.4,162,7.019140735,NA,6.831563886,7.068260381,5.607809511,6.96539893,6.912247001,5.674447521,7.042535959,NA,NA,NA,NA,NA
A7DT48,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.152563514,NA,NA,NA,NA,NA,NA,NA,NA,1.99E-90,35.2,406,5.112898762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9XWW2;A7DTF0,mrg-1,0.557921717,-3.175524601,0.698810393,0.096498907,-2.313507081,NA,0.701036757,-3.17896954,0.692874618,6.915257334,5.894361735,7.197445972,6.534762005,5.404616829,5.499302094,7.105884709,5.421529208,7.107718611,1.01E-117,38.2,335,6.875592582,6.209788336,7.074979722,6.756524454,5.636604131,5.60866127,7.133206133,5.73090646,7.028169819,-3.733446318,-2.410005988,-3.880006297,-3.733446318,7.518317654
D3NQA3;A7DTF1;Q9XWR1,flh-1,NA,NA,-0.018491749,NA,-2.319849117,NA,1.072695154,-0.712551762,0.073742438,6.036309444,NA,5.975004197,NA,5.664509048,NA,6.019199401,5.786872081,6.008302024,1.48E-72,25.7,501,5.996644692,NA,5.852537947,NA,5.89649635,NA,6.046520826,6.096249333,5.928753232,NA,NA,-1.785246915,-1.785246915,29.01263196
A7DTF2;G2HK04;Q95Q23;A7DTF3,obr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64E-148,24.6,842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7DTF5;Q9U222,,0.613520111,NA,0.583700695,0.98827538,NA,NA,0.761531057,-2.77713562,0.709811543,5.971581974,NA,6.125286033,5.835208459,NA,NA,5.793957926,4.866391037,5.949570519,1.45E-228,47.5,570,5.931917222,NA,6.002819783,6.056970908,NA,NA,5.82127935,5.175768288,5.870021727,NA,NA,-3.538666677,-3.538666677,8.605085413
A7KQE9;G5EF03;A8DYS1;A8DYS0;A8DYS3,etr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.359626819,NA,NA,NA,NA,NA,NA,4.64E-41,20.5,513,NA,NA,5.237160569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7LPD6;Q22096,igcm-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.054881055,NA,6.378143428,NA,NA,NA,NA,4.734018581,NA,1.61E-55,10.2,591,6.015216303,NA,6.255677178,NA,NA,NA,NA,5.043395833,NA,NA,NA,NA,NA,NA
Q20296-2;Q20296;A7LPD8,hda-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29E-21,7.8,863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7LPE4;P34609-2;P34609-3;P34609;C0P271;C7FZT6;A7LPE3,unc-16,NA,NA,0.745962342,NA,NA,NA,NA,NA,1.271043355,NA,4.542322947,5.684477312,5.351506423,NA,NA,NA,4.162199502,5.494112833,1.53E-108,16.2,1185,NA,4.857749548,5.562011061,5.573268872,NA,NA,NA,4.471576754,5.414564041,NA,NA,NA,NA,NA
A7LPE6;Q7JMU1;P34517;A7LPE5,gpdh-2,0.316456244,-3.812087435,0.191096043,0.393349319,-3.442943496,0.242413444,0.367675939,-3.639116372,0.073742438,7.65390683,6.47520605,7.743196081,7.510236605,6.396857695,7.406659382,7.67029225,6.470436787,7.625610797,0,78.6,360,7.614242078,6.790632651,7.620729831,7.731999054,6.628844996,7.516018558,7.697613674,6.779814038,7.546062005,-4.128543679,-3.836292815,-4.006792312,-4.006792312,6.220643711
A7LPF3;Q20364,,0.516099114,-2.920198007,0.390604338,0.493621481,-3.520296518,0.323154907,0.477703152,-2.648465443,0.532866623,7.276208967,5.205262337,7.268390736,7.218824239,4.942310876,7.169027506,7.06840852,5.523270133,7.16589691,3.44E-170,27.7,657,7.236544215,5.520688938,7.145924485,7.440586688,5.174298178,7.278386682,7.095729944,5.832647385,7.086348118,-3.436297121,-4.013917999,-3.126168595,-3.436297121,9.237862474
A7LPF5;Q38G53,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67E-28,14.1,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9U377;G5EDQ5;A7LPF8,unc-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42E-35,23.1,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5FC71;A7LPG5,,0.452589657,-3.241763929,0.412903889,0.269616546,-3.025595836,0.458386044,0.686800594,-4.495567258,0.505697045,8.143202225,6.075322886,8.23530114,7.966498412,6.718481439,8.027716462,8.225722699,6.009955571,8.249809609,1.35E-58,62.1,103,8.103537473,6.390749487,8.11283489,8.188260861,6.950468741,8.137075638,8.253044123,6.319332823,8.170260818,-3.694353586,-3.295212382,-5.182367852,-3.694353586,7.724826894
A7LPH5;Q19267,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.694938469,NA,NA,NA,NA,NA,NA,2.10E-60,31,310,NA,NA,5.572472219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7LPI2;Q94071,hlb-1;T21H8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.067256889,4.33671722,NA,NA,NA,NA,5.176264942,NA,4.960180517,2.90E-41,7.4,962,5.027592137,4.652143821,NA,NA,NA,NA,5.203586367,NA,4.880631725,NA,NA,NA,NA,NA
A7LPI3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78E-19,20.3,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7LPI4;Q93616,lsy-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.81694356,NA,NA,NA,NA,NA,NA,NA,NA,5.59E-13,10.7,291,5.777278808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7LPI7,,NA,-2.446388581,NA,NA,NA,NA,NA,NA,NA,5.764840894,5.421098053,5.929464907,5.731346976,5.135318572,5.650035397,5.900279715,NA,5.935421608,5.30E-06,25,92,5.725176142,5.736524654,5.806998657,5.953109425,5.367305873,5.759394572,5.927601139,NA,5.855872816,NA,NA,NA,NA,NA
A7LPJ5,,0.300377301,-1.202323681,0.40007288,NA,NA,0.692921261,0.202771153,NA,-0.105007525,6.776192515,5.261293495,6.914284965,6.216561735,NA,6.286141975,6.445012288,6.020104221,6.54052968,1.16E-62,38.8,255,6.736527763,5.576720096,6.791818715,6.438324184,NA,6.395501151,6.472333712,6.329481472,6.460980888,-1.502700981,NA,NA,-1.502700981,35.28920951
Q8I4B3;A7UQ07;Q23369,best-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.87E-12,6.7,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7WK39;Q9N426,pnc-1,NA,NA,NA,0.089083176,NA,NA,NA,NA,NA,NA,NA,NA,6.249051529,NA,NA,NA,NA,NA,1.04E-76,32.4,315,NA,NA,NA,6.470813978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7WK41,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83E-54,62.2,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7WK43,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40E-08,15,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7WK48;A7WK47,pig-1,NA,NA,NA,NA,-2.741121777,NA,NA,NA,NA,NA,NA,NA,NA,4.631052155,NA,NA,3.734247458,NA,1.28E-87,20.7,699,NA,NA,NA,NA,4.863039457,NA,NA,4.04362471,NA,NA,NA,NA,NA,NA
A8DZ32;O16580,gba-1,NA,NA,NA,NA,NA,NA,NA,NA,-0.071899932,NA,4.333360994,5.626771368,NA,4.585565961,NA,5.771300796,4.655455027,6.000173683,2.12E-134,36,470,NA,4.648787595,5.504305118,NA,4.817553263,NA,5.798622221,4.964832279,5.920624891,NA,NA,NA,NA,NA
A8JJR1;Q9XUQ4;Q1ZXS5,vps-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54E-20,8,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WFF4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03E-38,22.2,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WFH5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48E-29,3.6,2444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WFH7;Q3HKC5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.458405306,NA,1.57E-08,5.2,422,NA,NA,NA,NA,NA,NA,NA,5.767782557,NA,NA,NA,NA,NA,NA
Q1WBU8;A8WFI7,oga-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.232131741,NA,NA,NA,1.01E-33,9.7,854,NA,NA,NA,NA,NA,5.341490917,NA,NA,NA,NA,NA,NA,NA,NA
A8WFJ8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21E-141,80.8,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WFK6,gpx-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.47E-21,28.4,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WFM7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.93E-23,21.1,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WFM9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19E-06,6.7,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WHR9;Q19762,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00016352,9.1,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WHS5;A8WHS4;Q20733,saeg-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02E-05,4,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WHS8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00044575,5.2,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WHT1,C53A5.17,1.081338993,NA,NA,NA,NA,NA,NA,NA,NA,5.601310186,NA,5.504198919,NA,4.396559034,NA,5.528852451,3.690932276,5.547663965,3.53E-14,14.3,474,5.561645434,NA,5.381732668,NA,4.628546336,NA,5.556173875,4.000309528,5.468115173,NA,NA,NA,NA,NA
A8WHT8,,NA,NA,NA,NA,NA,-0.870187146,NA,NA,NA,NA,5.487797155,5.094366298,5.54199088,NA,6.031489256,NA,NA,NA,3.21E-53,15.1,920,NA,5.803223756,4.971900048,5.763753329,NA,6.140848431,NA,NA,NA,NA,NA,NA,NA,NA
A8WI10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26E-13,7.8,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8WI97;Q9U1T6;Q8I4B8,,1.786920283,-2.92314918,1.681168364,1.848712661,-2.657617141,1.625133007,1.610080817,NA,1.705241053,7.246326208,5.250892177,7.362576712,7.315823458,5.711987121,6.600951126,7.056828653,5.013418349,6.899207463,0,32,591,7.206661455,5.566318778,7.240110462,7.537585907,5.943974423,6.710310302,7.084150077,5.322795601,6.819658671,-4.710069464,-4.506329802,NA,-4.608199633,4.100092781
A8WIT0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43E-63,11.6,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8XMZ5,efhd-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.502249542,NA,NA,NA,NA,5.666002886,6.443466393,NA,6.380753771,1.48E-53,56.4,179,6.46258479,NA,NA,NA,NA,5.775362062,6.470787818,NA,6.301204979,NA,NA,NA,NA,NA
A8XQ35;Q9U252,rsy-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00013291,2.4,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q966L2;A9CZN9,,NA,NA,0.521929028,NA,NA,NA,NA,-1.945345507,NA,5.578616291,4.67481922,6.568811655,6.171667959,4.362968271,6.096771017,5.598440305,5.469322231,NA,2.63E-91,36.6,276,5.538951539,4.990245821,6.446345405,6.393430408,4.594955572,6.206130192,5.625761729,5.778699482,NA,NA,NA,NA,NA,NA
A9D0C6;A9D0C3,,0.434675792,NA,0.481988657,0.4639471,NA,NA,0.681885656,NA,1.34890467,5.880298991,4.267503915,6.101815786,5.751456174,4.230881633,5.150787131,5.995696606,5.363658132,5.952831174,6.59E-81,24.3,518,5.840634239,4.582930516,5.979349536,5.973218623,4.462868935,5.260146307,6.02301803,5.673035383,5.873282383,NA,NA,NA,NA,NA
Q9BKU2;A9D2X7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85E-22,30.3,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O16376;A9D4S6,,0.746567352,-1.841047243,-0.104202449,0.147985177,-2.450511854,NA,0.699068007,-1.241413107,0.158525975,6.109882143,5.214598248,6.40613124,5.745223176,5.249136087,NA,6.387656729,5.574249052,6.207715134,2.53E-265,33.6,744,6.070217391,5.530024849,6.28366499,5.966985625,5.481123389,NA,6.414978153,5.883626303,6.128166342,-2.587614596,-2.598497031,-1.940481114,-2.587614596,16.63605661
A9D649,sut-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54E-32,13.6,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O44161;A9D699,zhit-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.57E-07,31.9,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9D7B8;O44769,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56E-13,22.7,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9D7Z5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10E-24,6.7,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9QY28,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59E-16,39.8,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9QY30,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.624591459,NA,NA,NA,4.732144889,NA,2.77E-16,20.1,284,NA,NA,NA,5.846353908,NA,NA,NA,5.04152214,NA,NA,NA,NA,NA,NA
Q17948;Q9U3Q1;A9UJN4,pptr-2,0.549915784,-2.804322077,0.34717854,-0.291249913,-3.51210044,0.040778841,0.353818906,NA,0.231481115,6.523121882,4.723435871,6.628695383,5.996577337,4.824671903,5.998071801,5.640729818,4.454972987,6.605111025,6.46E-238,38.6,557,6.48345713,5.038862472,6.506229132,6.218339786,5.056659205,6.107430977,5.668051243,4.764350238,6.525562233,-3.354237861,-3.220850527,NA,-3.287544194,10.24119382
A9UJN7;Q93562,,0.573144868,-4.109527722,0.42043364,-0.030265443,-4.547203025,0.076052185,0.220059547,-3.990501111,0.495044077,7.206313052,5.864699857,7.318856034,6.753130912,5.736795094,6.939004783,7.093246531,5.807683155,7.139091608,0,53.8,874,7.1666483,6.180126458,7.196389783,6.974893361,5.968782395,7.048363959,7.120567956,6.117060407,7.059542816,-4.682672589,-4.516937582,-4.210560658,-4.516937582,4.367835757
A9Z1J6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51E-93,41.5,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9Z1J8;P34258,B0303.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.321035475,NA,NA,NA,NA,NA,NA,4.613059176,1.96E-31,20.6,467,NA,5.636462076,NA,NA,NA,NA,NA,NA,4.533510384,NA,NA,NA,NA,NA
A9Z1K9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.47E-05,3.4,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EBT3;A9Z1L1;Q6QUQ5;Q6QUQ6,srp-7,0.344464984,-4.96859768,0.566292723,0.292121867,-5.006791706,0.317624469,0.585258284,-4.623691312,0.59847875,7.760249033,5.983172869,8.082246655,7.808015057,5.930337507,7.878096484,7.947070841,5.606590021,8.042496757,0,80.9,366,7.720584281,6.29859947,7.959780405,8.029777506,6.162324809,7.98745566,7.974392266,5.915967273,7.962947966,-5.313062664,-5.298913573,-5.208949596,-5.298913573,2.540200927
A9Z1L6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.687505788,NA,NA,NA,NA,NA,NA,NA,8.84E-55,44.8,393,NA,5.002932389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B0M0L8,hsp-43,1.076584559,0.921936744,-1.051859299,0.955983654,0.687172213,-0.343009783,1.041922017,0.596492303,-1.374789111,8.008259415,7.913858367,6.668124889,7.82558838,8.041524769,6.178170885,8.070074826,8.057051114,6.423884554,1.79E-197,37.8,336,7.968594663,8.229284968,6.545658639,8.047350829,8.273512071,6.287530061,8.097396251,8.366428366,6.344335763,-0.154647815,-0.268811441,-0.445429714,-0.268811441,83.00030592
B0M0L9;Q9BIA9,,0.337703338,-2.334425258,0.055036635,0.774231504,NA,0.88720647,0.430022907,-2.83935498,0.335171318,6.450572399,5.1116658,6.923005558,6.972975362,4.621778993,6.936840346,6.852187112,5.240330769,6.636317355,1.65E-134,42,326,6.410907647,5.427092401,6.800539307,7.194737811,4.853766295,7.046199521,6.879508537,5.549708021,6.556768563,-2.672128595,NA,-3.269377886,-2.970753241,12.75598984
B0M0M3;P34545-2;P34545,cbp-1,0.185654665,-2.103464069,-0.263515224,NA,NA,NA,0.603204813,-2.44456106,0.252225928,5.631910283,3.928878264,5.63424545,NA,3.641077704,4.757957515,5.360309344,4.522817378,5.342679234,4.76E-70,11.2,2016,5.592245531,4.244304866,5.5117792,NA,3.873065006,4.867316691,5.387630769,4.832194629,5.263130442,-2.289118734,NA,-3.047765873,-2.668442303,15.72964151
B0M0N9;B0M0P0;B6VQ90,glna-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.012584164,NA,4.826819595,NA,NA,NA,NA,NA,NA,3.82E-127,25.7,791,4.972919412,NA,4.704353344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O16457;B1GRK5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93E-20,15.3,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
